,time,status
0,2021-09-09 20:04:30.544537,t
1,2021-09-09 20:04:35.041949,y
2,2021-09-09 20:04:35.711477,u
3,2021-09-09 20:04:37.209847,t
4,2021-09-09 20:04:37.879327,y
5,2021-09-09 20:04:39.376437,u
6,2021-09-09 20:04:40.952962,t
7,2021-09-09 20:04:41.668462,y
8,2021-09-09 20:04:43.477392,u
9,2021-09-09 20:04:44.849407,t
10,2021-09-09 20:04:45.966689,y
11,2021-09-09 20:04:46.905479,u
12,2021-09-09 20:04:48.436661,t
13,2021-09-09 20:04:49.077853,y
14,2021-09-09 20:04:50.056591,u
15,2021-09-09 20:04:51.210860,t
16,2021-09-09 20:04:52.098206,y
17,2021-09-09 20:04:53.088587,u
18,2021-09-09 20:04:55.856513,t
19,2021-09-09 20:04:56.744367,y
20,2021-09-09 20:04:57.675988,u
21,2021-09-09 20:04:59.190741,t
22,2021-09-09 20:05:00.128605,y
23,2021-09-09 20:05:01.069742,u
24,2021-09-09 20:05:02.795471,t
25,2021-09-09 20:05:03.487403,y
26,2021-09-09 20:05:04.480867,u
27,2021-09-09 20:05:06.178153,t
28,2021-09-09 20:05:06.832325,y
29,2021-09-09 20:05:07.820864,u
30,2021-09-09 20:05:09.097997,t
31,2021-09-09 20:05:09.597825,y
32,2021-09-09 20:05:10.571148,u
