,time,status
0,2021-09-09 19:47:38.894164,t
1,2021-09-09 19:47:39.036810,
2,2021-09-09 19:47:40.763795,t
3,2021-09-09 19:47:41.048492,t
4,2021-09-09 19:47:43.085988,y
5,2021-09-09 19:47:44.248925,u
6,2021-09-09 19:47:45.146318,t
7,2021-09-09 19:47:45.746439,y
8,2021-09-09 19:47:46.266158,u
9,2021-09-09 19:47:46.889337,t
10,2021-09-09 19:47:47.394690,y
11,2021-09-09 19:47:47.805813,u
12,2021-09-09 19:47:48.503254,t
13,2021-09-09 19:47:48.923311,y
14,2021-09-09 19:47:49.214543,u
15,2021-09-09 19:47:50.443968,t
16,2021-09-09 19:47:50.721559,y
17,2021-09-09 19:47:51.069307,u
18,2021-09-09 19:47:51.551824,t
19,2021-09-09 19:47:51.694534,y
20,2021-09-09 19:47:51.840404,u
21,2021-09-09 19:47:54.102698,
22,2021-09-09 19:47:55.380172,
23,2021-09-09 19:47:55.910385,
24,2021-09-09 19:47:56.886376,
