,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
1028,994.0,3.391304347826087,1941.0,13.684782608695652,1739.0,5.58695652173913,24926.7578125,91928.57142857119,707.0,26.55487804878049,-871.0,3.0,3.0,1193141.0,0.0,-1741.0,-7.500000000000001,53.07926829268293,246.0,0.010878010878010906,707.0,0.010878010878010906,4.038277511961723,-844.0,392.0,13.129186602870814,-2744.0,1.875598086124402,15.16536525780525
1029,946.0,3.5978260869565215,1922.0,14.206521739130434,1730.0,5.684782608695652,24931.640625,88323.5294117645,708.0,27.743902439024392,-910.0,3.0,3.0,1193301.0,0.004884004884004884,-1928.0,-5.945121951219512,58.78048780487806,195.0,0.01132201132201135,708.0,0.011322011322011348,4.172248803827751,-872.0,456.0,13.722488038277511,-2868.0,2.1818181818181817,15.718981066993464
1030,893.0,3.8478260869565215,1899.0,14.782608695652174,1712.0,5.880434782608695,24936.5234375,91928.57142857119,707.0,28.414634146341466,-932.0,3.0,3.0,1193461.0,0.009768009768009768,-2144.0,-4.725609756097562,65.3658536585366,155.0,0.010878010878010906,707.0,0.010878010878010906,4.30622009569378,-900.0,484.0,14.105263157894736,-2948.0,2.3157894736842106,16.367980897983372
1031,842.0,4.1521739130434785,1871.0,15.33695652173913,1691.0,6.108695652173913,24941.40625,91928.57142857119,707.0,29.115853658536587,-955.0,3.0,3.0,1193621.0,0.014652014652014652,-2398.0,-4.146341463414634,73.10975609756098,136.0,0.010878010878010906,707.0,0.010878010878010906,4.516746411483253,-944.0,556.0,14.75598086124402,-3084.0,2.660287081339713,17.022894763369823
1032,791.0,4.391304347826087,1849.0,15.891304347826086,1671.0,6.326086956521739,24946.2890625,91928.57142857119,707.0,29.451219512195124,-966.0,3.0,3.0,1193781.0,0.019536019536019536,-2713.0,-4.329268292682928,82.71341463414635,142.0,0.010878010878010906,707.0,0.010878010878010906,4.746411483253588,-992.0,612.0,15.330143540669855,-3204.0,2.92822966507177,17.6588924888269
1033,754.0,4.532608695652174,1836.0,16.293478260869566,1644.0,6.619565217391304,24951.171875,100099.99999999968,705.0,29.573170731707318,-970.0,3.0,3.0,1193941.0,0.02442002442002442,-3038.0,-5.060975609756098,92.6219512195122,166.0,0.009990009990010023,705.0,0.009990009990010021,4.9952153110047846,-1044.0,652.0,15.904306220095693,-3324.0,3.1196172248803826,18.16151477968255
1034,726.0,4.641304347826087,1826.0,16.59782608695652,1630.0,6.771739130434782,24956.0546875,88323.5294117645,708.0,30.152439024390247,-989.0,3.0,3.0,1194101.0,0.029304029304029304,-3351.0,-6.7682926829268295,102.16463414634147,222.0,0.01132201132201135,708.0,0.011322011322011348,5.244019138755981,-1096.0,676.0,16.19138755980861,-3384.0,3.2344497607655502,18.517180879190693
1035,715.0,4.619565217391305,1828.0,16.717391304347824,1619.0,6.891304347826087,24960.9375,88323.5294117645,708.0,31.06707317073171,-1019.0,3.0,3.0,1194261.0,0.03418803418803419,-3656.0,-9.176829268292684,111.46341463414635,301.0,0.01132201132201135,708.0,0.011322011322011348,5.263157894736842,-1100.0,684.0,16.248803827751196,-3396.0,3.2727272727272725,18.66284089935888
1036,723.0,4.5978260869565215,1830.0,16.630434782608695,1616.0,6.923913043478261,24965.8203125,79026.31578947355,711.0,32.13414634146342,-1054.0,3.0,3.0,1194421.0,0.03907203907203907,-3928.0,-12.134146341463415,119.75609756097562,398.0,0.012654012654012677,711.0,0.012654012654012677,5.282296650717703,-1104.0,648.0,16.038277511961724,-3352.0,3.1004784688995213,18.591716908831938
1037,753.0,4.423913043478261,1846.0,16.304347826086957,1625.0,6.826086956521739,24970.703125,91928.57142857119,707.0,33.59756097560976,-1102.0,3.0,3.0,1194581.0,0.04395604395604395,-4150.0,-15.54878048780488,126.52439024390245,510.0,0.010878010878010906,707.0,0.010878010878010906,5.110047846889952,-1068.0,608.0,15.578947368421051,-3256.0,2.909090909090909,18.220818526846696
