,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,4.673913043478261,1598.0,1823.0,7.119565217391304,6.83695652173913,1624.0,10009.765625,84990.56603773567,709.0,-3074.0,93.71951219512196,3.0,3.0,0.0,3612665.0,-1445.0,-43.53658536585366,44.054878048780495,1428.0,0.011766011766011792,0.01176601176601179,709.0,-1064.0,5.090909090909091,612.0,5.473684210526316,-1144.0,2.92822966507177,10.921430606968828
2053,3.9130434782608696,1588.0,1893.0,7.228260869565217,6.695652173913043,1637.0,10014.6484375,88323.5294117645,708.0,-2917.0,88.9329268292683,3.0,3.0,0.004884004884004884,3612825.0,-1397.0,-43.170731707317074,42.59146341463415,1416.0,0.01132201132201135,0.011322011322011348,708.0,-1052.0,5.033492822966507,420.0,5.55023923444976,-1160.0,2.0095693779904304,10.601482089560594
2054,3.293478260869565,1587.0,1950.0,7.239130434782608,6.58695652173913,1647.0,10019.53125,88323.5294117645,708.0,-2769.0,84.42073170731707,3.0,3.0,0.009768009768009768,3612985.0,-1171.0,-42.6829268292683,35.701219512195124,1400.0,0.01132201132201135,0.011322011322011348,708.0,-1024.0,4.899521531100478,268.0,5.607655502392344,-1172.0,1.2822966507177034,10.326664743560618
2055,2.7282608695652173,1598.0,2002.0,7.119565217391304,6.391304347826087,1665.0,10024.4140625,95840.42553191462,706.0,-2648.0,80.73170731707317,3.0,3.0,0.014652014652014652,3613145.0,-789.0,-42.50000000000001,24.05487804878049,1394.0,0.010434010434010463,0.010434010434010463,706.0,-1004.0,4.803827751196172,164.0,5.511961722488038,-1152.0,0.784688995215311,9.948888758229709
2056,2.8478260869565215,1608.0,1991.0,7.010869565217391,6.173913043478261,1685.0,10029.296875,88323.5294117645,708.0,-2592.0,79.02439024390245,3.0,3.0,0.019536019536019536,3613305.0,-438.0,-40.36585365853659,13.353658536585368,1324.0,0.01132201132201135,0.011322011322011348,708.0,-948.0,4.535885167464115,280.0,5.263157894736842,-1100.0,1.339712918660287,9.766248396926661
2057,3.25,1615.0,1954.0,6.934782608695652,6.054347826086956,1696.0,10034.1796875,95840.42553191462,706.0,-2567.0,78.26219512195122,3.0,3.0,0.02442002442002442,3613465.0,-82.0,-39.57317073170732,2.5000000000000004,1298.0,0.010434010434010463,0.010434010434010463,706.0,-928.0,4.440191387559809,368.0,5.090909090909091,-1064.0,1.7607655502392343,9.762624515421635
2058,3.4565217391304346,1624.0,1935.0,6.83695652173913,5.967391304347826,1704.0,10039.0625,88323.5294117645,708.0,-2573.0,78.44512195121952,3.0,3.0,0.029304029304029304,3613625.0,223.0,-37.10365853658537,-6.798780487804879,1217.0,0.01132201132201135,0.011322011322011348,708.0,-868.0,4.15311004784689,396.0,5.033492822966507,-1052.0,1.894736842105263,9.710884408355325
2059,3.760869565217391,1621.0,1907.0,6.869565217391304,5.760869565217392,1723.0,10043.9453125,91928.57142857119,707.0,-2417.0,73.68902439024392,3.0,3.0,0.03418803418803419,3613785.0,471.0,-33.65853658536586,-14.359756097560977,1104.0,0.010878010878010906,0.010878010878010906,707.0,-824.0,3.942583732057416,524.0,5.167464114832535,-1080.0,2.5071770334928227,9.722277732610754
2060,4.0,1616.0,1885.0,6.923913043478261,5.565217391304348,1741.0,10048.828125,100099.99999999968,705.0,-2213.0,67.46951219512195,3.0,3.0,0.03907203907203907,3613945.0,825.0,-32.743902439024396,-25.152439024390247,1074.0,0.009990009990010023,0.009990009990010021,705.0,-780.0,3.7320574162679425,552.0,5.22488038277512,-1092.0,2.6411483253588517,9.742290102749187
2061,4.478260869565217,1624.0,1841.0,6.83695652173913,5.413043478260869,1755.0,10053.7109375,91928.57142857119,707.0,-2108.0,64.26829268292684,3.0,3.0,0.04395604395604395,3614105.0,1092.0,-28.84146341463415,-33.29268292682927,946.0,0.010878010878010906,0.010878010878010906,707.0,-776.0,3.712918660287081,632.0,5.0143540669856455,-1048.0,3.0239234449760763,9.803052310049802
