,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
1028,2659.0,5.532608695652174,-4.413043478260869,1744.0,4.521739130434782,1837.0,5009.765625,84990.56603773567,709.0,91.0,-2.7743902439024395,3.0,3.0,0.0,16314611.0,-7.560975609756098,-89.0,2.713414634146342,248.0,0.011766011766011792,709.0,0.01176601176601179,-552.0,2.6411483253588517,848.0,-7.712918660287081,1612.0,4.057416267942584,8.39826389701657
1029,2663.0,5.663043478260869,-4.456521739130435,1732.0,4.554347826086956,1834.0,5014.6484375,88323.5294117645,708.0,154.0,-4.695121951219512,3.0,3.0,0.004884004884004884,16314771.0,-9.237804878048781,-173.0,5.27439024390244,303.0,0.01132201132201135,708.0,0.011322011322011348,-544.0,2.602870813397129,892.0,-7.84688995215311,1640.0,4.267942583732057,8.524830295612817
1030,2673.0,5.826086956521739,-4.565217391304348,1717.0,4.467391304347826,1842.0,5019.53125,84990.56603773567,709.0,200.0,-6.097560975609757,3.0,3.0,0.009768009768009768,16314931.0,-10.54878048780488,-299.0,9.115853658536587,346.0,0.011766011766011792,709.0,0.01176601176601179,-516.0,2.4688995215311005,900.0,-7.904306220095694,1652.0,4.30622009569378,8.64535043367144
1031,2678.0,5.83695652173913,-4.619565217391305,1716.0,4.228260869565217,1864.0,5024.4140625,91928.57142857119,707.0,249.0,-7.591463414634147,3.0,3.0,0.014652014652014652,16315091.0,-12.225609756097562,-412.0,12.560975609756099,401.0,0.010878010878010906,707.0,0.010878010878010906,-504.0,2.4114832535885165,900.0,-7.9425837320574155,1660.0,4.30622009569378,8.560878121752518
1032,2683.0,5.869565217391304,-4.673913043478261,1713.0,4.076086956521739,1878.0,5029.296875,88323.5294117645,708.0,329.0,-10.03048780487805,3.0,3.0,0.019536019536019536,16315251.0,-13.841463414634148,-498.0,15.182926829268293,454.0,0.01132201132201135,708.0,0.011322011322011348,-436.0,2.0861244019138754,912.0,-8.057416267942584,1684.0,4.363636363636363,8.538837383176512
1033,2696.0,5.793478260869565,-4.815217391304348,1720.0,3.9130434782608696,1893.0,5034.1796875,95840.42553191462,706.0,391.0,-11.920731707317074,3.0,3.0,0.02442002442002442,16315411.0,-15.487804878048783,-554.0,16.890243902439025,508.0,0.010434010434010463,706.0,0.010434010434010463,-420.0,2.0095693779904304,888.0,-8.229665071770334,1720.0,4.248803827751196,8.488970382057415
1034,2699.0,5.717391304347826,-4.8478260869565215,1727.0,3.8152173913043477,1902.0,5039.0625,84990.56603773567,709.0,440.0,-13.414634146341465,3.0,3.0,0.029304029304029304,16315571.0,-17.164634146341466,-595.0,18.140243902439025,563.0,0.011766011766011792,709.0,0.01176601176601179,-388.0,1.8564593301435406,872.0,-8.248803827751196,1724.0,4.172248803827751,8.41105610725071
1035,2704.0,5.619565217391304,-4.9021739130434785,1736.0,3.684782608695652,1914.0,5043.9453125,84990.56603773567,709.0,499.0,-15.213414634146343,3.0,3.0,0.03418803418803419,16315731.0,-18.262195121951223,-638.0,19.451219512195124,599.0,0.011766011766011792,709.0,0.01176601176601179,-376.0,1.7990430622009568,840.0,-8.325358851674642,1740.0,4.019138755980861,8.31795919559504
1036,2707.0,5.391304347826087,-4.934782608695652,1757.0,3.6956521739130435,1913.0,5048.828125,88323.5294117645,708.0,565.0,-17.225609756097562,3.0,3.0,0.03907203907203907,16315891.0,-19.481707317073173,-655.0,19.969512195121954,639.0,0.01132201132201135,708.0,0.011322011322011348,-364.0,1.7416267942583732,784.0,-8.287081339712918,1732.0,3.751196172248804,8.189999203694818
1037,2701.0,5.1521739130434785,-4.869565217391305,1779.0,3.717391304347826,1911.0,5053.7109375,88323.5294117645,708.0,651.0,-19.847560975609756,3.0,3.0,0.04395604395604395,16316051.0,-20.51829268292683,-630.0,19.207317073170735,673.0,0.01132201132201135,708.0,0.011322011322011348,-388.0,1.8564593301435406,724.0,-8.287081339712918,1732.0,3.464114832535885,8.00478354150278
