,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2052,1962.0,8.25,3.1630434782608696,1494.0,8.456521739130434,1475.0,19721.6796875,104755.81395348875,704.0,15.54878048780488,-510.0,3.0,3.0,0.0,12937105.0,7.0,7.8048780487804885,-256.0,-0.2134146341463415,0.009546009546009513,0.009546009546009511,704.0,6.813397129186603,-1424.0,1468.0,0.937799043062201,-196.0,7.023923444976076,12.230294516885284
2053,1961.0,8.282608695652174,3.1739130434782608,1491.0,8.456521739130434,1475.0,19726.5625,109865.85365853697,703.0,15.823170731707318,-519.0,3.0,3.0,0.004884004884004884,12937265.0,13.0,8.170731707317074,-268.0,-0.39634146341463417,0.00910200910200907,0.00910200910200907,703.0,6.832535885167464,-1428.0,1472.0,0.9760765550239234,-204.0,7.043062200956937,12.25512508044043
2054,1960.0,8.326086956521738,3.184782608695652,1487.0,8.5,1471.0,19731.4453125,109865.85365853697,703.0,16.493902439024392,-541.0,3.0,3.0,0.009768009768009768,12937425.0,16.0,8.719512195121952,-286.0,-0.48780487804878053,0.00910200910200907,0.00910200910200907,703.0,6.889952153110047,-1440.0,1492.0,0.9186602870813396,-192.0,7.1387559808612435,12.317327805665144
2055,1966.0,8.391304347826086,3.119565217391304,1481.0,8.532608695652174,1468.0,19736.328125,109865.85365853697,703.0,17.195121951219512,-564.0,3.0,3.0,0.014652014652014652,12937585.0,9.0,8.963414634146343,-294.0,-0.27439024390243905,0.00910200910200907,0.00910200910200907,703.0,6.832535885167464,-1428.0,1512.0,0.937799043062201,-196.0,7.23444976076555,12.367339526208609
2056,1964.0,8.41304347826087,3.141304347826087,1479.0,8.5,1471.0,19741.2109375,115500.00000000041,702.0,17.926829268292686,-588.0,3.0,3.0,0.019536019536019536,12937745.0,5.0,9.359756097560977,-307.0,-0.15243902439024393,0.008658008658008627,0.008658008658008629,702.0,6.813397129186603,-1424.0,1504.0,0.9569377990430622,-200.0,7.196172248803827,12.365156431391348
2057,1963.0,8.521739130434783,3.152173913043478,1469.0,8.532608695652174,1468.0,19746.09375,109865.85365853697,703.0,18.353658536585368,-602.0,3.0,3.0,0.02442002442002442,12937905.0,-16.0,9.603658536585368,-315.0,0.48780487804878053,0.00910200910200907,0.00910200910200907,703.0,6.985645933014354,-1460.0,1524.0,0.8995215311004784,-188.0,7.291866028708133,12.464415322764815
2058,1963.0,8.51086956521739,3.152173913043478,1470.0,8.565217391304348,1465.0,19750.9765625,128700.00000000045,700.0,18.719512195121954,-614.0,3.0,3.0,0.029304029304029304,12938065.0,-17.0,10.579268292682928,-347.0,0.5182926829268293,0.007770007770007743,0.007770007770007743,700.0,6.8708133971291865,-1436.0,1548.0,0.937799043062201,-196.0,7.4066985645933014,12.479344938518125
2059,1968.0,8.521739130434783,3.0978260869565215,1469.0,8.554347826086957,1466.0,19755.859375,104755.81395348875,704.0,19.26829268292683,-632.0,3.0,3.0,0.03418803418803419,12938225.0,-27.0,10.975609756097562,-360.0,0.8231707317073171,0.009546009546009513,0.009546009546009511,704.0,6.947368421052631,-1452.0,1532.0,0.9186602870813396,-192.0,7.330143540669856,12.465690153452812
2060,1957.0,8.532608695652174,3.217391304347826,1468.0,8.51086956521739,1470.0,19760.7421875,115500.00000000041,702.0,19.81707317073171,-650.0,3.0,3.0,0.03907203907203907,12938385.0,-11.0,11.219512195121952,-368.0,0.3353658536585366,0.008658008658008627,0.008658008658008629,702.0,6.92822966507177,-1448.0,1532.0,0.937799043062201,-196.0,7.330143540669856,12.473648973518365
2061,1959.0,8.543478260869565,3.1956521739130435,1467.0,8.58695652173913,1463.0,19765.625,109865.85365853697,703.0,20.30487804878049,-666.0,3.0,3.0,0.04395604395604395,12938545.0,-20.0,11.250000000000002,-369.0,0.6097560975609757,0.00910200910200907,0.00910200910200907,703.0,6.92822966507177,-1448.0,1540.0,0.9569377990430622,-200.0,7.368421052631579,12.52753111817425
2062,1958.0,8.619565217391305,3.2065217391304346,1460.0,8.532608695652174,1468.0,19770.5078125,109865.85365853697,703.0,20.914634146341466,-686.0,3.0,3.0,0.04884004884004884,12938705.0,0.0,11.55487804878049,-379.0,0.0,0.00910200910200907,0.00910200910200907,703.0,6.8708133971291865,-1436.0,1548.0,0.937799043062201,-196.0,7.4066985645933014,12.545281876207373
2063,1960.0,8.619565217391305,3.184782608695652,1460.0,8.543478260869565,1467.0,19775.390625,121743.24324324368,701.0,21.55487804878049,-707.0,3.0,3.0,0.05372405372405373,12938865.0,0.0,11.615853658536587,-381.0,0.0,0.008214008214008185,0.008214008214008185,701.0,6.909090909090909,-1444.0,1568.0,0.9952153110047847,-208.0,7.502392344497608,12.547141730109816
2064,1961.0,8.717391304347826,3.1739130434782608,1451.0,8.576086956521738,1464.0,19780.2734375,109865.85365853697,703.0,21.951219512195124,-720.0,3.0,3.0,0.05860805860805861,12939025.0,2.0,11.737804878048781,-385.0,-0.06097560975609757,0.00910200910200907,0.00910200910200907,703.0,6.813397129186603,-1424.0,1572.0,0.8803827751196172,-184.0,7.521531100478469,12.633918736738131
2065,1961.0,8.804347826086957,3.1739130434782608,1443.0,8.543478260869565,1467.0,19785.15625,115500.00000000041,702.0,22.621951219512198,-742.0,3.0,3.0,0.06349206349206349,12939185.0,-15.0,12.164634146341465,-399.0,0.4573170731707317,0.008658008658008627,0.008658008658008629,702.0,6.947368421052631,-1452.0,1604.0,0.9186602870813396,-192.0,7.6746411483253585,12.67206713382763
2066,1962.0,8.826086956521738,3.1630434782608696,1441.0,8.543478260869565,1467.0,19790.0390625,109865.85365853697,703.0,23.231707317073173,-762.0,3.0,3.0,0.06837606837606838,12939345.0,-47.0,12.286585365853659,-403.0,1.4329268292682928,0.00910200910200907,0.00910200910200907,703.0,6.92822966507177,-1448.0,1596.0,0.9186602870813396,-192.0,7.636363636363636,12.684465925036127
