,time,status
0,2021-09-09 19:48:20.369417,t
1,2021-09-09 19:48:21.610313,y
2,2021-09-09 19:48:23.597880,u
3,2021-09-09 19:48:25.947444,t
4,2021-09-09 19:48:27.240609,y
5,2021-09-09 19:48:29.846027,u
6,2021-09-09 19:48:31.207967,t
7,2021-09-09 19:48:32.223182,y
8,2021-09-09 19:48:33.725402,i
9,2021-09-09 19:48:34.212522,u
10,2021-09-09 19:48:35.234157,t
11,2021-09-09 19:48:36.657176,y
12,2021-09-09 19:48:37.262519,u
13,2021-09-09 19:48:38.354734,t
14,2021-09-09 19:48:39.193500,y
15,2021-09-09 19:48:40.691581,u
16,2021-09-09 19:48:42.083673,t
17,2021-09-09 19:48:42.820433,y
18,2021-09-09 19:48:43.893656,u
19,2021-09-09 19:48:45.043457,t
20,2021-09-09 19:48:45.664388,y
21,2021-09-09 19:48:46.984199,u
22,2021-09-09 19:48:48.374900,t
23,2021-09-09 19:48:48.943522,y
24,2021-09-09 19:48:49.996281,u
25,2021-09-09 19:48:51.326658,t
26,2021-09-09 19:48:52.015269,y
27,2021-09-09 19:48:52.792057,u
