,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
823,2036.0,4.206521739130435,2.358695652173913,1866.0,10.097826086956522,1324.0,4008.7890625,702.0,115500.00000000041,33.62804878048781,-1103.0,3.0,3.0,10586277.0,0.0,161.0,-48.170731707317074,-4.908536585365854,1580.0,0.008658008658008629,0.008658008658008627,702.0,-1768.0,8.459330143540669,-0.15311004784688995,548.0,32.0,2.6220095693779903,11.190369162980312
824,2031.0,4.0,2.4130434782608696,1885.0,10.097826086956522,1324.0,4013.671875,702.0,115500.00000000041,30.945121951219516,-1015.0,3.0,3.0,10586437.0,0.004884004884004884,407.0,-47.50000000000001,-12.408536585365855,1558.0,0.008658008658008629,0.008658008658008627,702.0,-1784.0,8.535885167464114,0.17224880382775118,512.0,-36.0,2.449760765550239,11.126044692989373
825,2062.0,4.228260869565217,2.0760869565217392,1864.0,10.195652173913043,1315.0,4018.5546875,704.0,104755.81395348875,31.768292682926834,-1042.0,3.0,3.0,10586597.0,0.009768009768009768,546.0,-46.28048780487805,-16.646341463414636,1518.0,0.009546009546009511,0.009546009546009513,704.0,-1828.0,8.746411483253588,-0.49760765550239233,556.0,104.0,2.660287081339713,11.231190955706962
826,2082.0,4.25,1.858695652173913,1862.0,10.16304347826087,1318.0,4023.4375,703.0,109865.85365853697,33.9329268292683,-1113.0,3.0,3.0,10586757.0,0.014652014652014652,656.0,-44.48170731707317,-20.000000000000004,1459.0,0.00910200910200907,0.00910200910200907,703.0,-1804.0,8.631578947368421,-0.6124401913875598,564.0,128.0,2.6985645933014353,11.17160249330556
827,2094.0,4.33695652173913,1.7282608695652173,1854.0,9.945652173913043,1338.0,4028.3203125,702.0,115500.00000000041,34.207317073170735,-1122.0,3.0,3.0,10586917.0,0.019536019536019536,693.0,-44.054878048780495,-21.128048780487806,1445.0,0.008658008658008629,0.008658008658008627,702.0,-1748.0,8.363636363636363,-0.8229665071770335,560.0,172.0,2.679425837320574,10.986904690092981
828,2094.0,4.423913043478261,1.7282608695652173,1846.0,9.869565217391305,1345.0,4033.203125,703.0,109865.85365853697,33.9329268292683,-1113.0,3.0,3.0,10587077.0,0.02442002442002442,681.0,-42.50000000000001,-20.762195121951223,1394.0,0.00910200910200907,0.00910200910200907,703.0,-1748.0,8.363636363636363,-0.708133971291866,612.0,148.0,2.92822966507177,10.952908738315484
829,2121.0,4.641304347826087,1.434782608695652,1826.0,9.67391304347826,1363.0,4038.0859375,701.0,121743.24324324368,32.59146341463415,-1069.0,3.0,3.0,10587237.0,0.029304029304029304,712.0,-39.35975609756098,-21.707317073170735,1291.0,0.008214008214008185,0.008214008214008185,701.0,-1688.0,8.076555023923445,-1.1291866028708133,684.0,236.0,3.2727272727272725,10.825197492708558
830,2124.0,5.021739130434782,1.4021739130434783,1791.0,9.619565217391305,1368.0,4042.96875,700.0,128700.00000000045,27.164634146341466,-891.0,3.0,3.0,10587397.0,0.03418803418803419,616.0,-36.85975609756098,-18.78048780487805,1209.0,0.007770007770007743,0.007770007770007743,700.0,-1716.0,8.210526315789473,-1.1291866028708133,772.0,236.0,3.69377990430622,10.941663061354255
831,2132.0,5.163043478260869,1.315217391304348,1778.0,9.66304347826087,1364.0,4047.8515625,698.0,145306.45161290374,24.29878048780488,-797.0,3.0,3.0,10587557.0,0.03907203907203907,631.0,-34.451219512195124,-19.23780487804878,1130.0,0.006882006882006858,0.006882006882006858,698.0,-1688.0,8.076555023923445,-1.3971291866028708,788.0,292.0,3.7703349282296648,11.034546841966888
832,2092.0,4.423913043478261,1.75,1846.0,9.043478260869565,1421.0,4052.734375,701.0,121743.24324324368,22.073170731707318,-724.0,3.0,3.0,10587717.0,0.04395604395604395,828.0,-27.59146341463415,-25.243902439024392,905.0,0.008214008214008185,0.008214008214008185,701.0,-1476.0,7.062200956937799,-0.057416267942583726,448.0,12.0,2.1435406698564594,10.218512889411917
833,2103.0,5.260869565217392,1.6304347826086956,1769.0,9.25,1402.0,4057.6171875,703.0,109865.85365853697,19.847560975609756,-651.0,3.0,3.0,10587877.0,0.04884004884004884,788.0,-21.219512195121954,-24.02439024390244,696.0,0.00910200910200907,0.00910200910200907,703.0,-1796.0,8.593301435406698,-1.416267942583732,1044.0,296.0,4.9952153110047846,10.765573192476603
834,2182.0,6.380434782608695,0.7717391304347826,1666.0,10.456521739130434,1291.0,4062.5,701.0,121743.24324324368,12.682926829268293,-416.0,3.0,3.0,10588037.0,0.05372405372405373,533.0,-29.634146341463417,-16.25,972.0,0.008214008214008185,0.008214008214008185,701.0,-1900.0,9.09090909090909,-2.1052631578947367,1068.0,440.0,5.110047846889952,12.273727069699508
