,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
413,2528.0,7.739130434782608,1541.0,-2.9891304347826084,2025.0,2.4782608695652173,51118.1640625,84990.56603773567,709.0,-25.243902439024392,828.0,3.0,3.0,0.0,2835837.0,-991.0,-32.83536585365854,1077.0,30.213414634146343,0.01176601176601179,709.0,0.011766011766011792,-112.0,0.5358851674641149,-6.181818181818182,1324.0,1292.0,6.3349282296650715,8.65856902613476
414,2531.0,7.619565217391304,1552.0,-3.0217391304347827,2031.0,2.4130434782608696,51123.046875,100099.99999999968,705.0,-26.34146341463415,864.0,3.0,3.0,0.004884004884004884,2835997.0,-1011.0,-35.09146341463415,1151.0,30.82317073170732,0.009990009990010021,705.0,0.009990009990010023,-84.0,0.4019138755980861,-6.220095693779904,1300.0,1300.0,6.220095693779904,8.544674382471076
415,2541.0,7.510869565217391,1562.0,-3.1304347826086953,2042.0,2.293478260869565,51127.9296875,91928.57142857119,707.0,-26.920731707317074,883.0,3.0,3.0,0.009768009768009768,2836157.0,-1040.0,-37.28658536585366,1223.0,31.707317073170735,0.010878010878010906,707.0,0.010878010878010906,-40.0,0.19138755980861244,-6.488038277511961,1276.0,1356.0,6.105263157894736,8.454160282781285
416,2559.0,7.467391304347826,1566.0,-3.3260869565217392,2055.0,2.152173913043478,51132.8125,88323.5294117645,708.0,-26.82926829268293,880.0,3.0,3.0,0.014652014652014652,2836317.0,-1059.0,-39.29878048780488,1289.0,32.28658536585366,0.011322011322011348,708.0,0.01132201132201135,-16.0,0.07655502392344497,-6.62200956937799,1288.0,1384.0,6.162679425837321,8.453202936554785
417,2593.0,7.543478260869565,1559.0,-3.6956521739130435,2069.0,2.0,51137.6953125,81899.99999999984,710.0,-26.89024390243903,882.0,3.0,3.0,0.019536019536019536,2836477.0,-1042.0,-40.73170731707317,1336.0,31.768292682926834,0.012210012210012234,710.0,0.012210012210012234,52.0,-0.24880382775119617,-6.966507177033493,1268.0,1456.0,6.0669856459330145,8.63492381337322
418,2613.0,7.608695652173913,1553.0,-3.9130434782608696,2097.0,1.6956521739130435,51142.578125,91928.57142857119,707.0,-27.59146341463415,905.0,3.0,3.0,0.02442002442002442,2836637.0,-1043.0,-41.12804878048781,1349.0,31.79878048780488,0.010878010878010906,707.0,0.010878010878010906,100.0,-0.4784688995215311,-7.2727272727272725,1312.0,1520.0,6.277511961722488,8.722350318868541
419,2640.0,7.619565217391304,1552.0,-4.206521739130435,2123.0,1.4130434782608696,51147.4609375,88323.5294117645,708.0,-28.10975609756098,922.0,3.0,3.0,0.029304029304029304,2836797.0,-1023.0,-41.4329268292683,1359.0,31.189024390243905,0.011322011322011348,708.0,0.01132201132201135,160.0,-0.7655502392344498,-7.502392344497608,1304.0,1568.0,6.239234449760765,8.817555847019735
420,2656.0,7.608695652173913,1553.0,-4.380434782608695,2146.0,1.1630434782608696,51152.34375,88323.5294117645,708.0,-27.987804878048784,918.0,3.0,3.0,0.03418803418803419,2836957.0,-998.0,-41.85975609756098,1373.0,30.426829268292686,0.011322011322011348,708.0,0.01132201132201135,216.0,-1.0334928229665072,-7.732057416267942,1292.0,1616.0,6.181818181818182,8.85624799474492
421,2673.0,7.608695652173913,1553.0,-4.565217391304348,2174.0,0.858695652173913,51157.2265625,91928.57142857119,707.0,-27.865853658536587,914.0,3.0,3.0,0.03907203907203907,2837117.0,-967.0,-42.07317073170732,1380.0,29.481707317073173,0.010878010878010906,707.0,0.010878010878010906,280.0,-1.339712918660287,-8.019138755980862,1284.0,1676.0,6.143540669856459,8.914640631026035
422,2697.0,7.554347826086956,1558.0,-4.826086956521739,2184.0,0.75,51162.109375,95840.42553191462,706.0,-27.896341463414636,915.0,3.0,3.0,0.04395604395604395,2837277.0,-921.0,-41.21951219512196,1352.0,28.07926829268293,0.010434010434010463,706.0,0.010434010434010463,320.0,-1.5311004784688995,-8.30622009569378,1268.0,1736.0,6.0669856459330145,8.995653749973593
423,2716.0,7.565217391304348,1557.0,-5.032608695652174,2205.0,0.5217391304347826,51166.9921875,91928.57142857119,707.0,-27.652439024390247,907.0,3.0,3.0,0.04884004884004884,2837437.0,-868.0,-40.15243902439025,1317.0,26.463414634146343,0.010878010878010906,707.0,0.010878010878010906,356.0,-1.7033492822966507,-8.593301435406698,1288.0,1796.0,6.162679425837321,9.101201908620338
424,2734.0,7.684782608695652,1546.0,-5.228260869565217,2222.0,0.33695652173913043,51171.875,88323.5294117645,708.0,-27.225609756097562,893.0,3.0,3.0,0.05372405372405373,2837597.0,-788.0,-39.024390243902445,1280.0,24.02439024390244,0.011322011322011348,708.0,0.01132201132201135,416.0,-1.9904306220095693,-8.78468899521531,1316.0,1836.0,6.296650717703349,9.300759923827759
425,2758.0,7.83695652173913,1532.0,-5.489130434782608,2237.0,0.17391304347826086,51176.7578125,88323.5294117645,708.0,-26.676829268292686,875.0,3.0,3.0,0.05860805860805861,2837757.0,-701.0,-37.43902439024391,1228.0,21.371951219512198,0.011322011322011348,708.0,0.01132201132201135,448.0,-2.1435406698564594,-9.014354066985646,1340.0,1884.0,6.411483253588517,9.569675344565148
426,2771.0,7.945652173913043,1522.0,-5.630434782608695,2258.0,-0.05434782608695652,51181.640625,91928.57142857119,707.0,-25.152439024390247,825.0,3.0,3.0,0.06349206349206349,2837917.0,-612.0,-36.03658536585366,1182.0,18.658536585365855,0.010878010878010906,707.0,0.010878010878010906,460.0,-2.200956937799043,-9.167464114832535,1368.0,1916.0,6.545454545454545,9.738487459365508
427,2789.0,8.108695652173912,1507.0,-5.826086956521739,2260.0,-0.07608695652173914,51186.5234375,91928.57142857119,707.0,-23.414634146341466,768.0,3.0,3.0,0.06837606837606838,2838077.0,-531.0,-34.54268292682927,1133.0,16.189024390243905,0.010878010878010906,707.0,0.010878010878010906,476.0,-2.277511961722488,-9.511961722488039,1404.0,1988.0,6.717703349282297,9.984989916343912
428,2811.0,8.16304347826087,1502.0,-6.065217391304348,2266.0,-0.14130434782608695,51191.40625,104755.81395348875,704.0,-21.82926829268293,716.0,3.0,3.0,0.07326007326007326,2838237.0,-443.0,-32.07317073170732,1052.0,13.506097560975611,0.009546009546009511,704.0,0.009546009546009513,492.0,-2.354066985645933,-9.722488038277511,1424.0,2032.0,6.813397129186603,10.17064932786853
429,2832.0,8.293478260869565,1490.0,-6.293478260869565,2271.0,-0.19565217391304346,51196.2890625,88323.5294117645,708.0,-20.09146341463415,659.0,3.0,3.0,0.07814407814407814,2838397.0,-371.0,-29.451219512195124,966.0,11.310975609756099,0.011322011322011348,708.0,0.01132201132201135,496.0,-2.373205741626794,-9.894736842105262,1456.0,2068.0,6.966507177033493,10.412873285347843
430,2836.0,8.42391304347826,1478.0,-6.33695652173913,2276.0,-0.25,51201.171875,91928.57142857119,707.0,-18.414634146341466,604.0,3.0,3.0,0.08302808302808302,2838557.0,-293.0,-26.76829268292683,878.0,8.932926829268293,0.010878010878010906,707.0,0.010878010878010906,500.0,-2.3923444976076556,-9.952153110047847,1492.0,2080.0,7.1387559808612435,10.544279440649097
431,2844.0,8.576086956521738,1464.0,-6.423913043478261,2263.0,-0.10869565217391304,51206.0546875,91928.57142857119,707.0,-16.890243902439025,554.0,3.0,3.0,0.0879120879120879,2838717.0,-238.0,-23.84146341463415,782.0,7.25609756097561,0.010878010878010906,707.0,0.010878010878010906,484.0,-2.3157894736842106,-10.105263157894736,1520.0,2112.0,7.2727272727272725,10.715770668542415
432,2853.0,8.717391304347826,1451.0,-6.521739130434782,2263.0,-0.10869565217391304,51210.9375,91928.57142857119,707.0,-15.54878048780488,510.0,3.0,3.0,0.0927960927960928,2838877.0,-178.0,-20.914634146341466,686.0,5.426829268292684,0.010878010878010906,707.0,0.010878010878010906,484.0,-2.3157894736842106,-10.124401913875598,1548.0,2116.0,7.4066985645933014,10.887506931495604
433,2861.0,8.782608695652174,1445.0,-6.608695652173913,2261.0,-0.08695652173913043,51215.8203125,100099.99999999968,705.0,-14.05487804878049,461.0,3.0,3.0,0.09768009768009768,2839037.0,-108.0,-17.28658536585366,567.0,3.2926829268292686,0.009990009990010021,705.0,0.009990009990010023,472.0,-2.2583732057416266,-10.239234449760765,1548.0,2140.0,7.4066985645933014,10.991662074530883
434,2869.0,8.826086956521738,1441.0,-6.695652173913043,2261.0,-0.08695652173913043,51220.703125,91928.57142857119,707.0,-11.52439024390244,378.0,3.0,3.0,0.10256410256410256,2839197.0,-67.0,-13.871951219512196,455.0,2.0426829268292686,0.010878010878010906,707.0,0.010878010878010906,472.0,-2.2583732057416266,-10.31578947368421,1564.0,2156.0,7.483253588516746,11.078769355609069
435,2872.0,8.902173913043478,1434.0,-6.728260869565217,2258.0,-0.05434782608695652,51225.5859375,95840.42553191462,706.0,-9.176829268292684,301.0,3.0,3.0,0.10744810744810745,2839357.0,-34.0,-10.457317073170733,343.0,1.0365853658536586,0.010434010434010463,706.0,0.010434010434010463,468.0,-2.2392344497607652,-10.488038277511961,1592.0,2192.0,7.617224880382775,11.158904444128675
436,2890.0,9.076086956521738,1418.0,-6.923913043478261,2257.0,-0.043478260869565216,51230.46875,91928.57142857119,707.0,-6.676829268292684,219.0,3.0,3.0,0.11233211233211234,2839517.0,20.0,-6.158536585365854,202.0,-0.6097560975609757,0.010878010878010906,707.0,0.010878010878010906,484.0,-2.3157894736842106,-10.62200956937799,1628.0,2220.0,7.789473684210526,11.41568292460686
437,2891.0,9.25,1402.0,-6.934782608695652,2265.0,-0.13043478260869565,51235.3515625,84990.56603773567,709.0,-3.4756097560975614,114.0,3.0,3.0,0.11721611721611722,2839677.0,83.0,-1.981707317073171,65.0,-2.530487804878049,0.01176601176601179,709.0,0.011766011766011792,472.0,-2.2583732057416266,-10.602870813397129,1668.0,2216.0,7.980861244019138,11.561605557290989
438,2899.0,9.456521739130434,1383.0,-7.021739130434782,2264.0,-0.11956521739130435,51240.234375,91928.57142857119,707.0,0.39634146341463417,-13.0,3.0,3.0,0.1221001221001221,2839837.0,114.0,1.9207317073170733,-63.0,-3.4756097560975614,0.010878010878010906,707.0,0.010878010878010906,484.0,-2.3157894736842106,-10.679425837320574,1708.0,2232.0,8.17224880382775,11.779003338981415
439,2897.0,9.565217391304348,1373.0,-7.0,2258.0,-0.05434782608695652,51245.1171875,91928.57142857119,707.0,2.8353658536585367,-93.0,3.0,3.0,0.12698412698412698,2839997.0,110.0,5.457317073170732,-179.0,-3.353658536585366,0.010878010878010906,707.0,0.010878010878010906,452.0,-2.1626794258373203,-10.602870813397129,1732.0,2216.0,8.287081339712918,11.85311509389458
440,2894.0,9.630434782608695,1367.0,-6.967391304347826,2242.0,0.11956521739130435,51250.0,88323.5294117645,708.0,4.786585365853659,-157.0,3.0,3.0,0.13186813186813187,2840157.0,86.0,9.725609756097562,-319.0,-2.6219512195121952,0.011322011322011348,708.0,0.01132201132201135,412.0,-1.971291866028708,-10.507177033492823,1744.0,2196.0,8.344497607655502,11.887140595247914
441,2879.0,9.684782608695652,1362.0,-6.804347826086956,2219.0,0.3695652173913043,51254.8828125,81899.99999999984,710.0,6.097560975609757,-200.0,3.0,3.0,0.13675213675213677,2840317.0,74.0,13.536585365853659,-444.0,-2.25609756097561,0.012210012210012234,710.0,0.012210012210012234,360.0,-1.7224880382775118,-10.354066985645932,1760.0,2164.0,8.421052631578947,11.841906179579938
442,2859.0,9.706521739130434,1360.0,-6.58695652173913,2196.0,0.6195652173913043,51259.765625,95840.42553191462,706.0,7.743902439024391,-254.0,3.0,3.0,0.14163614163614163,2840477.0,66.0,17.347560975609756,-569.0,-2.0121951219512195,0.010434010434010463,706.0,0.010434010434010463,300.0,-1.4354066985645932,-10.124401913875598,1764.0,2116.0,8.440191387559809,11.746847302578445
443,2841.0,9.728260869565217,1358.0,-6.391304347826087,2167.0,0.9347826086956521,51264.6484375,91928.57142857119,707.0,9.573170731707318,-314.0,3.0,3.0,0.14652014652014653,2840637.0,51.0,20.762195121951223,-681.0,-1.5548780487804879,0.010878010878010906,707.0,0.010878010878010906,204.0,-0.9760765550239234,-9.894736842105262,1756.0,2068.0,8.401913875598085,11.677399082774139
444,2823.0,9.630434782608695,1367.0,-6.195652173913043,2135.0,1.2826086956521738,51269.53125,91928.57142857119,707.0,11.341463414634147,-372.0,3.0,3.0,0.1514041514041514,2840797.0,54.0,23.414634146341466,-768.0,-1.6463414634146343,0.010878010878010906,707.0,0.010878010878010906,140.0,-0.6698564593301435,-9.665071770334928,1744.0,2020.0,8.344497607655502,11.522867048975067
445,2800.0,9.532608695652174,1376.0,-5.945652173913043,2096.0,1.7065217391304348,51274.4140625,91928.57142857119,707.0,12.591463414634147,-413.0,3.0,3.0,0.1562881562881563,2840957.0,34.0,25.000000000000004,-820.0,-1.0365853658536586,0.010878010878010906,707.0,0.010878010878010906,24.0,-0.11483253588516745,-9.39712918660287,1716.0,1964.0,8.210526315789473,11.363697671255828
446,2779.0,9.467391304347826,1382.0,-5.717391304347826,2066.0,2.032608695652174,51279.296875,95840.42553191462,706.0,13.902439024390246,-456.0,3.0,3.0,0.16117216117216118,2841117.0,11.0,26.34146341463415,-864.0,-0.3353658536585366,0.010434010434010463,706.0,0.010434010434010463,-44.0,0.21052631578947367,-9.129186602870814,1700.0,1908.0,8.133971291866029,11.245068232176886
447,2759.0,9.326086956521738,1395.0,-5.5,2037.0,2.3478260869565215,51284.1796875,100099.99999999968,705.0,15.060975609756099,-494.0,3.0,3.0,0.16605616605616605,2841277.0,-7.0,28.01829268292683,-919.0,0.2134146341463415,0.009990009990010021,705.0,0.009990009990010023,-108.0,0.5167464114832536,-8.842105263157894,1684.0,1848.0,8.057416267942584,11.07872669828074
448,2732.0,9.271739130434783,1400.0,-5.206521739130435,2016.0,2.5760869565217392,51289.0625,91928.57142857119,707.0,16.128048780487806,-529.0,3.0,3.0,0.17094017094017094,2841437.0,-54.0,28.963414634146343,-950.0,1.6463414634146343,0.010878010878010906,707.0,0.010878010878010906,-132.0,0.631578947368421,-8.708133971291865,1676.0,1820.0,8.019138755980862,10.941171743941998
449,2712.0,9.152173913043478,1411.0,-4.989130434782608,2000.0,2.75,51293.9453125,95840.42553191462,706.0,16.951219512195124,-556.0,3.0,3.0,0.1758241758241758,2841597.0,-95.0,29.237804878048784,-959.0,2.8963414634146343,0.010434010434010463,706.0,0.010434010434010463,-160.0,0.7655502392344498,-8.363636363636363,1672.0,1748.0,8.0,10.780362230920986
450,2678.0,8.956521739130434,1429.0,-4.619565217391305,1986.0,2.902173913043478,51298.828125,91928.57142857119,707.0,16.82926829268293,-552.0,3.0,3.0,0.1807081807081807,2841757.0,-171.0,28.750000000000004,-943.0,5.213414634146342,0.010878010878010906,707.0,0.010878010878010906,-204.0,0.9760765550239234,-8.076555023923445,1616.0,1688.0,7.732057416267942,10.487243578881808
